ProductName,BrandName,ChemicalCount,DiscontinuedDate,ChemicalName,Discontinued
01 FRUITY LIPSTICK,L�OCCITANE EN PROVENCE,1,0,'Titanium dioxide',1
01 Flawless Skin Protecting Concealer,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Flawless Skin Protecting Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Foundation SPF 25,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Glow Enhancer Shade: Natural,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Hi-shine Lip Treatment Shade: Pink Cream,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Hot Brights Blush (Dark Pink); 01 Hot Brights Blush (Pale Pink),The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Hot Brights Eye Colour (Pink); 01 Hot Brights Eye Colour (Purple),The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Hot Brights Eye Linerr (Purple); 01 Hot Brights Eye Liner (Purple Glitter),The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Hot Brights Lips & Cheeks (Pink Gloss),The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Lightening Touch,The Body Shop,1,0,'Titanium dioxide',1
01 Lip Click Shade: Spiced Red,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Lip Gloss Dot,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Metallic Eye Liner Shade: Bronze Brown,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Moisture Foundation SPF 15,The Body Shop,1,0,'Titanium dioxide',1
01 Oil-free Balancing Foundation,The Body Shop,1,0,'Titanium dioxide',1
01 Roseflower Blush Shade: Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Roseflower Eyes Shade: Sunshine Gold,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Roseflower Lips Shade: Soft Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Roseflower Radiance Stick Shade: Sheer Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 SHIMMER PALETTE SHADE: OH DEER! BRONZE,The Body Shop,1,02/10/2014,'Titanium dioxide',0
01 SHIMMER WAVES SHADE: BRONZE,The Body Shop,1,0,'Titanium dioxide',1
01 SPARKLING BLACK MASCARA,The Body Shop,1,0,'Titanium dioxide',1
01 Sheer Lip Lustre Shade: Flush Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
01 Sheer Lip Shine Shade: Sheer Pink,The Body Shop,1,07/10/2013,'Titanium dioxide',0
