<<<<<<< HEAD
﻿CompanyName
The Procter & Gamble Company
Victoria's Secret Beauty
"Elizabeth Arden, Inc."
MAESA LLC
Bath & Body Works
"Buth-na-Bodhaige, Inc"
GUERLAIN
The Boots Company PLC
Cover FX Skin Care Inc.
Arbonne International LLC
Yves Rocher Inc.
Too Faced Cosmetics
"Shiseido Co., Ltd."
New Avon LLC
Nars Cosmetics
"Shiseido America, Inc."
"Melaleuca, Inc."
Kanebo Cosmetics Inc
Merle Norman Cosmetics
TIGI Linea Corp
Revlon Consumer Product Corporation
LEVLAD LLC
"Nippon Menard Cosmetic Co., Ltd."
Mary Kay Inc.
Regis Corporation
Coty
"Zotos International, Inc."
Palladio Beauty Group
"Bare Escentuals Beauty, Inc."
LABORATOIRES M&L SA (L'Occitane - Melvita)
"Anastasia Beverly Hills, LLC"
Paula's Choice LLC.
Olympic Mountain Products
Burt's Bees Inc.
Soap and Glory Ltd
Hoyu America Co.
Dermalogica
Arcadia Beauty Labs LLC
AMCO International
"Great Clips, Inc."
COLGATE-PALMOLIVE COMPANY
"Vi-Jon, Inc."
Reckitt Benckiser
Milk Make-up
Neways
"Bonne Bell, LLC"
Japonesque
"Beiersdorf, Inc."
Benefit Cosmetics
BEAUTE PRESTIGE INTERNATIONAL
"S.C. Johnson & Son, Inc."
"La Prairie, Inc."
"APLICARE, INC"
Georgia-Pacific Consumer Products LP
"Kingdom Animalia, LLC."
"Physicians Formula Holdings, Inc."
MAKE UP FOR EVER
"TRUE COSMETICS, LLC"
"Herbalife International of America, Inc."
Colorescience
Henkel Corporation
"Chattem, Inc."
OPI PRODUCTS INC.
Kao USA Inc.
C.F.E.B. SISLEY
NV Perricone LLC
"Deb USA, Inc."
"Physician's Care Alliance, LLC"
"Crabtree & Evelyn, Ltd"
"NSE Products, Inc."
"Jan Marini Skin Research, Inc."
"Sunrider Manufacturing, L.P."
Your Name Professional Brands
Parfums Christian Dior
LVMH FRAGRANCE BRANDS
Molton Brown Ltd
Memebox Corporation
boom creative development llc
GAP INC.
Lush Manufacturing Ltd.
"Kimberly-Clark Global Sales, LLC"
Aubrey Organics Inc
"Avlon Industries, Inc."
Thymes LLC
AFFLINK
"Rituals Cosmetics USA, Inc."
"Rexall, Inc."
"SkinMedica, an Allergan Company"
Pure & Basic Products
Mario Zunino & C. S.r.l.
Hillyard Industries
Champneys Henlow Limited
"CCA Industries, Inc."
Marianna Industries
"TAIZHOU XINZHIXUAN DAILY-USE CO.,LTD"
"Conopco, Inc."
"Signatry, Inc."
"Ulta Salon, Cosmetics & Fragrance, Inc."
Kao Germany GmbH
DHC USA Inc.
"Private Brand, Consumer Products, Division of McKesson"
Athena Cosmetics
"The Hain Celestial Group, Inc"
Trader Joe's Company
"Markwins International, Markwins Beauty Products, Physicians Formula"
"ZO Skin Health, Inc"
Excelon
"Dr. Hauschka Skin Care, Inc."
"Bielle Cosmetics, Inc"
"MSD Consumer Care, Inc."
Edward Don & Company
"Pharmaceutical Specialties, Inc."
Lise Watier Cosmï¿_tiques Inc.
Nature's Bounty
"Central Solutions, Inc."
California Baby
"Bioelements, Inc."
"Allure Labs, Inc."
Home Health
"Vitamin World, Inc."
SRC
Puritan's Pride
Good 'N Natural
Corporate Express
New Directions Aromatics Inc.
CARITA INTERNATIONAL
"Beauty Treats International Co., Inc."
"Alberto Culver USA, Inc."
"PSS World Medical, Inc"
PhysioLogics
"Diversey, Inc"
Penhaligon's Limited
Added Extras LLC
"eos Products, LLC"
"GOJO Industries, Inc."
Lumene Oy
"Hatchbeauty Products, LLC"
Pro-Link Inc
Radiance
"CHANEL, INC"
"Ventura International, Ltd"
Unite Eurotherapy
Fragrances of Ireland Ltd.
"Klein-Becker USA, LLC."
Blistex Inc.
Neoteric Cosmetics Inc
Australian Gold
WAXIE Sanitary Supply
"Continental Fragrances, Ltd."
Sexy Hair Concepts
Jurlique International Pty. Ltd.
LagasseSweet
Chantecaille Beautï¿_ Inc
Expanscience Laboratoires
Smart Brands Inc
PBH Marketing Inc.
PBIGROUP INC
LABORATOIRE NUXE
Romane Fragrances
Combe Incorporated
S+
San Joaquin Supply
Carma Laboratories
"NEOCUTIS, Inc"
Pacific World Cosmetics
"NOEVIR CO., LTD"
MORRIS PROFUMI SPA
"Murad Skin Research Laboratories, Inc."
Smashbox Cosmetics
House of Cheatham
Michel Design Works
Johnson & Johnson Consumer Companies
"Kenra Professional, LLC"
Key Brands International Ltd.
General Motors
LES SALONS DU PALAIS ROYAL SHISEIDO
"Unisource Worldwide, Inc"
"Tom's of Maine, Inc."
Triple S
"Kiss Products, Inc."
=======
﻿CompanyName
The Procter & Gamble Company
Victoria's Secret Beauty
"Elizabeth Arden, Inc."
MAESA LLC
Bath & Body Works
