,ChemicalName,Chemical_Description,Web_Link,PrimaryCategory,ProductName
0,"1,4-Dioxane","This compound is irritating to the eyes and respiratory tract. Exposure may cause damage to the central nervous system, liver and kidneys. In a 1978 mortality study conducted on workers exposed to 1,4-dioxane, the observed number deaths from cancer was not significantly different from the expected number. Dioxane is classified by the National Toxicology Program as ""reasonably anticipated to be a human carcinogen"". It is also classified by the IARC as a Group 2B carcinogen: possibly carcinogenic to humans because it is a known carcinogen in other animals. The United States Environmental Protection Agency classifies dioxane as a probable human carcinogen (having observed an increased incidence of cancer in controlled animal studies, but not in epidemiological studies of workers using the compound), and a known irritant (with a no-observed-adverse-effects level of 400 milligrams per cubic meter) at concentrations significantly higher than those found in commercial products. Under California Proposition 65, dioxane is classified in the U.S. State of California to cause cancer. Animal studies in rats suggest that the greatest health risk is associated with inhalation of vapors in the pure form.","https://en.wikipedia.org/wiki/1,4-Dioxane","Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ,Skin Care Products ,Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Hair Care Products (non-coloring),Bath Products,Hair Care Products (non-coloring),Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Skin Care Products ,Skin Care Products ","Hydrate Shampoo,Hydrate Shampoo,Hydrate Conditioner,Hydrate Conditioner,Curl Lock Shampoo,Curl Lock Shampoo,Curl Lock Shampoo,Curl Lock Conditioner,Interrupt Texturizing Clay,Texture Cream Casual Styler,Intensity Conditioning Therapy,Interrupt Texturizing Clay,Texturizing Clay,Texture Cream,Intensity Conditioning Treatment,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,HEMPZ TREATS GINGERBREAD COOKIE DELICIOUS BODY LOTION,Jaboncillo Body Wash,HONEY ALMOND SHAMPOO,PAPAYA NECTAR BODY WASH,PAPAYA NECTAR CONC. BODY WASH,SPA REFRESH SHAMPOO,SPA REFRESH BATH GEL,OCEAN BREEZE BODY WASH,OCAEN BREEZE SHAMPOO,OCEAN BREEZE CONC. SHAMPOO,SPORT FRESH SHAMPOO,SPORT FRESH SHAMPOO,SPORT FRESH BODY WASH,ALOE VERA BODYWASH,AWAPUHI CONC. SHAMPOO,ALOE VERA CONC. BODY WASH,JABONCILLO CONC. BODY WASH,ALOE VERA SHAMPOO,ALOE VERA CONC. SHAMPOO,FRESH PEAR HAND AND BODY SOAP,BODY ECLIPSE SHAMPOO,EUCALYPTUS BODY WASH,VANILLA GINGER,VANILLA GINGER BODY WASH,CITRUS NECTAR BODY WASH,PALA SPA SHAMPOO,PALA SPA BODY WASH,Thickening Shampoo + Conditioner,Facial Cleanser,Moisturizing Shampoo,Moisturizing Conditioner,Harmon Face Values Swim Repair Conditioner with Argan Oil 12oz,Harmon Face Values Swim Repair Chlorine Removal Shampoo with Argan Oil 12oz,Harmon Face Values Argan Oil Conditioner 21oz  (w/pump),Harmon Face Values Argan Oil Shampoo 21oz (w/pump),Harmon Face Values Brazilian  Keratin 14 Days Straightening Treatment 4oz (boxed),Harmon Face Values Brazilian Keratin Conditioner 21oz (w/pump),Harmon  Face Values Brazilian Keratin Shampoo 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Conditioner 21oz (w/pump),Harmon Face Values Coconut Milk Nourishing Shampoo 21oz (w/pump),EGF Cellular Activator,EGF Cellular Activator"
1,"2,2-Bis(bromomethyl)-1,3-propanediol","Symptoms of exposure to this compound include eye and skin irritation and possible liver damage. It may also cause corneal injury which may be sufficient to cause possible impairment of vision. Consumption of alcohol before or after handling this chemical may enhance the toxic effects. ACUTE/CHRONIC HAZARDS: This compound is irritating to the eyes, skin and mucous membranes upon prolonged exposure. When heated to decomposition it emits toxic fumes of bromide ion.",https://pubchem.ncbi.nlm.nih.gov/compound/2_2-Bis_bromomethyl_-1_3-propanediol#section=Health-Hazard,"Skin Care Products ,Skin Care Products ,Skin Care Products ,Skin Care Products ","MOCARA serum ingredients,MOCARA serum ingredients,MOCARA serum ingredients,MOCARA serum ingredients"
2,"2,4-Hexadienal (89% trans, trans isomer; 11% cis, trans isomer)","2,4-Hexadienal, a colorless to yellow liquid with a pungent ""green"" or citrus odor, is used as a food additive for flavor enhancement, as a fragrance agent, as a starting material or intermediate in synthetic reactions in the chemical and pharmaceutical industries, as a fumigant, and as a corrosion inhibitor for steel. 2,4-Hexadienal was nominated for study by the National Cancer Institute because of the potential for carcinogenicity based on its alpha,beta-unsaturated aldehyde structure and the potential link between exposure to lipid peroxidation products in the diet and human malignancies. ",https://pubchem.ncbi.nlm.nih.gov/compound/2%2C4-hexadienal#section=National-Toxicology-Program-Studies,"Skin Care Products ,Skin Care Products ,Sun-Related Products,Fragrances,Fragrances,Fragrances,Fragrances,Fragrances,Fragrances","Best of Skintentions,Best of Skintentions,Best of Skintentions,Halston Natural Spray Cologne,Halston Natural Spray Cologne,Halston Perfume,Halston Z-14 Natural Spray Cologne,Red Giorgio Beverly Hills Extraordinary Eau de Toilette Spray,Red Giorgio Beverly Hills Extraordinary Parfum"
3,2-Propyleneacrolein,"Acrolein is toxic and is a strong irritant for the skin, eyes, and nasal passages. The main metabolic pathway for acrolein is the alkylation of glutathione. The WHO suggests a ""tolerable oral acrolein intake"" of 7.5 ?g per day per kg of body weight. Although acrolein occurs in French fries, the levels are only a few ?g per kg. In response to occupational exposures to acrolein, the US Occupational Safety and Health Administration has set a permissible exposure limit at 0.1 ppm (0.25 mg/m3) at an eight-hour time-weighted average. Acrolein acts in an immunosuppressive manner and may promote regulatory cells, thereby preventing the generation of allergy on the one hand, but also increasing the risk of cancer.",https://en.wikipedia.org/wiki/Acrolein,Makeup Products (non-permanent),Makeup Balancer No.1
4,Acetaldehyde,"Acetaldehyde is an irritant of the skin, eyes, mucous membranes, throat, and respiratory tract. This occurs at concentrations as low as 1000 ppm. Symptoms of exposure to this compound include nausea, vomiting, and headache. These symptoms may not happen immediately. The perception threshold for acetaldehyde in air is in the range between 0.07 and 0.25 ppm.[21] At such concentrations, the fruity odor of acetaldehyde is apparent. Conjunctival irritations have been observed after a 15-minute exposure to concentrations of 25 and 50 ppm, but transient conjunctivitis and irritation of the respiratory tract have been reported after exposure to 200 ppm acetaldehyde for 15 minutes. It has a general narcotic action and large doses can even cause death by respiratory paralysis. It may also cause drowsiness, delirium, hallucinations, and loss of intelligence. Exposure may also cause severe damage to the mouth, throat, and stomach; accumulation of fluid in the lungs, chronic respiratory disease, kidney and liver damage, throat irritation, dizziness, reddening, and swelling of the skin.",https://en.wikipedia.org/wiki/Acetaldehyde,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Bath Products,Fragrances,Fragrances,Skin Care Products ,Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Fragrances,Skin Care Products ,Fragrances,Fragrances,Skin Care Products ,Skin Care Products ,Bath Products,Bath Products,Fragrances,Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Makeup Products (non-permanent),Skin Care Products ","The Cream,Hydrate Conditioner,Hydrate Conditioner,Curl Lock Shampoo,Curl Lock Shampoo,Curl Lock Conditioner,Interrupt Texturizing Clay,Texture Cream Casual Styler,Intensity Conditioning Therapy,Badgley Mischka Glamorous Bath and Shower Gel,Badgley Mischka Glamorous Body Lotion,Badgley Mishka Glamorous Body Cream,Elizabeth Arden Peel and Reveal Revitalizing Treatment,Interrupt Texturizing Clay,Texturizing Clay,Texture Cream,Jewel Alfred Sung Luxorious Body Lotion,Jewel Alfred Sung Luxorious Hand Cream,Shi Alfred Sung Dusting Powder,Shi Alfred Sung Eau de Parfum,Shi Alfred Sung Moisture Balance Body Lotion,Shi Alfred Sung Moisture Balance Hand Cream,Shi Alfred Sung Moisture Balance Shower Gel,Body Butter Apricot Scrub Bodywash,Shi Alfred Sung Parfum,Delicious Lip Gloss Plump lip gloss immediate extra volume,Resplendisant XP ultra sensuous volume liquid lip color,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,Rouge Volumesse maximum volume effect lipstick SPF 21,L'BEL COULEUR LUXE RESPLENDISANT XP FPS 15/ Ultra-Sensuous Volume Liquid Lip Color,Anti-Aging Eye and Lip Perfection a Porter,Anti-Aging Eye and Lip Perfection a Porter"
5,"Acetic acid, retinyl ester","Concentrated acetic acid is corrosive to skin. These burns or blisters may not appear until hours after exposure. Prolonged inhalation exposure (eight hours) to acetic acid vapours at 10 ppm can produce some irritation of eyes, nose, and throat; at 100 ppm marked lung irritation and possible damage to lungs, eyes, and skin may result. Vapour concentrations of 1,000 ppm cause marked irritation of eyes, nose and upper respiratory tract and cannot be tolerated. These predictions were based on animal experiments and industrial exposure.",https://en.wikipedia.org/wiki/Acetic_acid,"Skin Care Products ,Skin Care Products ,Skin Care Products ","Renewal Cream,Rejuvenating Complex,Tri-Retinol Complex ES"
6,Acetylsalicylic acid,"For a small number of people, taking aspirin can result in symptoms resembling an allergic reaction, including hives, swelling, and headache. The reaction is caused by salicylate intolerance and is not a true allergy, but rather an inability to metabolize even small amounts of aspirin, resulting in an overdose. Aspirin and other NSAIDs, such as ibuprofen, may delay the healing of skin wounds.",https://en.wikipedia.org/wiki/Aspirin,Shaving Products,In-Grown Hair and Razor Bump Creme
7,Acrylamide,"Acrylamide is considered a potential occupational carcinogen by U.S. government agencies and classified as a Group 2A carcinogen by the IARC. The Occupational Safety and Health Administration and the National Institute for Occupational Safety and Health have set dermal occupational exposure limits at 0.03 mg/m3 over an eight-hour workday. In animal models, exposure to acrylamide causes tumors in the adrenal glands, thyroid, lungs, and testes. Acrylamide is easily absorbed by the skin and distributed throughout the organism; the highest levels of acrylamide post-exposure are found in the blood, non-exposed skin, kidneys, liver, testes, and spleen.",https://en.wikipedia.org/wiki/Acrylamide,"Nail Products,Skin Care Products ,Hair Care Products (non-coloring),Skin Care Products ","Quicken,i-LIFT CONTOUR CONCENTRATE,Moisturizing Shampoo,Horse Chestnut Varicose Spider Veins Cream"
8,All-trans retinoic acid,"Tretinoin, also known as all-trans retinoic acid (ATRA), is medication used for the treatment of acne and acute promyelocytic leukemia. For acne, it is applied to the skin as a cream or ointment. In topical form, this drug is pregnancy category C and should not be used by pregnant women. People using the topical form should not also use any cream or lotion that has a strong drying effect, contains alcohol, astringents, spices, lime, sulfur, resorcinol, or aspirin, as these may interact with tretinoin or exacerbate its side effects.",https://en.wikipedia.org/wiki/Tretinoin,"Hair Care Products (non-coloring),Hair Care Products (non-coloring),Hair Care Products (non-coloring),Sun-Related Products,Hair Care Products (non-coloring),Bath Products,Bath Products,Skin Care Products ","Serum,Sultry,Web,Titanium Self Tanner,Sea Blast Shampoo,GRAPEFRUIT BODY WASH,POMEGRANATE BODY WASH,POMEGRANATE BODY LOTION"
9,"Aloe vera, non-decolorized whole leaf extract","A 2-year National Toxicology Program study on oral consumption of nondecolorized whole leaf extract of aloe vera found clear evidence of carcinogenic activity in male and female rats, based on tumors of the large intestine. Another study in rats showed that decolorized whole leaf aloe vera did not cause harmful effects. This suggests that a component called aloin, most of which is removed by the decolorization process, may be responsible for the tumors seen in rats fed nondecolorized whole leaf aloe vera. More information, including what products are actually in the marketplace and how individuals use different types of aloe vera products, is needed to determine the potential risks to humans.",https://nccih.nih.gov/health/aloevera,"Makeup Products (non-permanent),Skin Care Products ,Skin Care Products ,Skin Care Products ","Renewed Hope in a Jar Complete Concealer,Nourishing Eye Cream,Essential Facial Moisturizer,Intensive Renewal Serum"
